card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,other_identifier_content,other_identifier_type,name_type,name_language,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,0d16dffb-9172-5641-b3ed-a21757f3c624,https://n2t.net/ark:/15052/6517c600-2584-4231-b3af-aa301f932372,Brabant Cloud ARK Identifier,H. van de Biggelaar,,,,Primary,Nederlands,,,,
Actors,0,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,Brabant Cloud ARK Identifier,Hendrik Valk junior,"['H. Valk Jr.', 'Hendrik Valk jr.', 'H. Valk Junior', 'Hendrikus Willem Johannes Valk junior']",,,Primary,Nederlands,,,,
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,H. Valk Jr.,Alternative,Nederlands
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,Hendrik Valk jr.,Alternative,Nederlands
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,H. Valk Junior,Alternative,Nederlands
Alternate names,1,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,,,,,,,,,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,Hendrikus Willem Johannes Valk junior,Alternative,Nederlands
Actors,0,0e07c8e8-4d14-58ce-9ffb-d21d2a1cc7d8,https://n2t.net/ark:/15052/a801df83-8444-4c07-b68b-40bb94f4bcf8,Brabant Cloud ARK Identifier,Clemens Hardeman,"['Clemens Antonius Hardeman', 'Clemens Anthonius Hardeman', 'Clement Anthonius Clemens Hardeman', 'C.A. Hardeman']",http://www.wikidata.org/entity/Q2408342,Wikidata,Primary,Nederlands,,,,
Alternate names,1,0e07c8e8-4d14-58ce-9ffb-d21d2a1cc7d8,,,,,,,,,https://n2t.net/ark:/15052/a801df83-8444-4c07-b68b-40bb94f4bcf8,Clemens Antonius Hardeman,Alternative,Nederlands
Alternate names,1,0e07c8e8-4d14-58ce-9ffb-d21d2a1cc7d8,,,,,,,,,https://n2t.net/ark:/15052/a801df83-8444-4c07-b68b-40bb94f4bcf8,Clemens Anthonius Hardeman,Alternative,Nederlands
Alternate names,1,0e07c8e8-4d14-58ce-9ffb-d21d2a1cc7d8,,,,,,,,,https://n2t.net/ark:/15052/a801df83-8444-4c07-b68b-40bb94f4bcf8,Clement Anthonius Clemens Hardeman,Alternative,Nederlands
Alternate names,1,0e07c8e8-4d14-58ce-9ffb-d21d2a1cc7d8,,,,,,,,,https://n2t.net/ark:/15052/a801df83-8444-4c07-b68b-40bb94f4bcf8,C.A. Hardeman,Alternative,Nederlands
Actors,0,0e1db512-cd6d-5e29-b21f-ad8c2c571cee,https://n2t.net/ark:/15052/0e9bde96-d19b-4ebd-8dbe-7db2f4335509,Brabant Cloud ARK Identifier,H. Bakkers,,,,Primary,Nederlands,,,,
